Date,STRATEGY,SPY,QQQ
2020-03-17,1.0,0.7781575980751677,0.842616482204463
2020-03-18,1.0,0.7387571541598025,0.8169871743222746
2020-03-19,1.0,0.7403269345282916,0.8218911831706006
2020-03-20,1.0,0.7084230745944543,0.7896926525200876
2020-03-23,1.0,0.6903100304663724,0.7902630326025645
2020-03-24,1.0,0.7528544428181688,0.8514590215568066
2020-03-25,1.0,0.764124811082075,0.8451540033547454
2020-03-26,1.0,0.8087418207519795,0.889660057279725
2020-03-27,1.0,0.7846529414661009,0.8590620628026039
2020-03-30,1.0,0.8101351081176401,0.8903091786731898
2020-03-31,1.0,0.7980597282336691,0.8827058444364678
2020-04-01,1.0,0.7621431451793205,0.8452002959208331
2020-04-02,1.0,0.7797299482311177,0.8623535960973601
2020-04-03,1.0,0.7684595285714624,0.8501145594515201
2020-04-06,1.0,0.8200741722894473,0.9108934758245855
2020-04-07,1.0,0.8209098671717979,0.9105222563231095
2020-04-08,1.0,0.8484667260321835,0.9298546765013943
2020-04-09,1.0,0.8613783661517465,0.9311990653589495
2020-04-13,1.0,0.8535137886057886,0.9412594214894182
2020-04-14,1.0,0.8786861930767665,0.9821957472367281
2020-04-15,1.0,0.8600156592568731,0.9709300996901609
2020-04-16,1.0,0.8641647353000705,0.9886399361279772
2020-04-17,1.0,0.8875105348436969,0.9980976099265313
2020-04-20,1.0,0.8718745088493716,0.9862757191095993
2020-04-21,1.0,0.8454014835485805,0.949882657134694
2020-04-22,1.0,0.8641647353000705,0.9780698490364248
2020-04-23,1.0,0.8641028548180072,0.9759835339100359
2020-04-24,1.0,0.8761472430651974,0.9913752261523686
2020-04-27,1.0,0.8887800098494815,0.9993493404041797
2020-04-28,1.0,0.8846929170798458,0.9805269441779028
2020-04-29,1.0,0.9078529723857837,1.0152974224123394
2020-04-30,1.0,0.8994003246772272,1.0148801300879693
2020-05-01,1.0,0.8755898047691352,0.9862757191095993
2020-05-04,1.0,0.8780048910250792,0.9977730492297989
2020-05-05,1.0,0.8861171960822872,1.0090851358379163
2020-05-06,1.0,0.880110472079208,1.0152974224123397
2020-05-07,1.0,0.8907304785324583,1.0283709704591888
2020-05-08,1.0,0.9054686207878745,1.0424647129055167
2020-05-11,1.0,0.9056545706085599,1.0517831427671518
2020-05-12,1.0,0.8876034583582906,1.0297619448737565
2020-05-13,0.9995,0.8719051407159082,1.016873493843527
2020-05-14,1.0183826600467203,0.8823396085144668,1.0284174827684702
2020-05-15,1.0387148481302255,0.8863959666260678,1.035093573976545
2020-05-18,1.058523659527834,0.9133952843988927,1.0543794818455487
2020-05-19,1.0616692446894576,0.904013709918897,1.0517367769533328
