Date,gross_return,cost,net_return,selected_count
2020-11-02,-0.006651269624711409,0.0006666666666666668,-0.007317936291378076,3
2020-11-03,0.018248144532039712,0.0005,0.01774814453203971,0
2020-11-04,0.0,0.0005,-0.0005,3
2020-11-05,0.041758122183539914,0.0003333333333333333,0.04142478885020658,3
2020-11-06,0.010533369252046768,0.0006666666666666666,0.009866702585380102,3
2020-11-09,-0.031692108690422306,0.0003333333333333333,-0.03202544202375564,3
2020-11-10,-0.0519375134307333,0.0006666666666666666,-0.05260418009739997,3
2020-11-11,0.020929861417512075,0.0006666666666666666,0.02026319475084541,3
2020-11-12,-0.012590846556632302,0.0006666666666666666,-0.013257513223298968,3
2020-11-13,0.016390996012581056,0.0,0.016390996012581056,3
2020-11-16,0.02579334202208009,0.0003333333333333333,0.025460008688746757,3
2020-11-17,-0.006121445254316274,0.0003333333333333333,-0.006454778587649607,3
2020-11-18,-0.006417668030817003,0.0003333333333333333,-0.006751001364150336,3
2020-11-19,0.02160720561852066,0.0,0.02160720561852066,3
2020-11-20,-0.012967704976264722,0.0,-0.012967704976264722,3
2020-11-23,0.030165379478394705,0.0003333333333333333,0.02983204614506137,3
2020-11-24,0.02153022648549744,0.0,0.02153022648549744,3
2020-11-25,0.01758525524219704,0.0003333333333333333,0.017251921908863706,3
2020-11-27,0.008112465002995931,0.0,0.008112465002995931,3
2020-11-30,0.007613213212982695,0.0003333333333333333,0.0072798798796493615,3
2020-12-01,0.011726287130155258,0.0003333333333333333,0.011392953796821925,3
2020-12-02,-0.005783932713636567,0.0003333333333333333,-0.0061172660469699,3
2020-12-03,0.011022532402728916,0.0003333333333333333,0.010689199069395583,3
2020-12-04,0.011213604732756564,0.0003333333333333333,0.010880271399423231,3
2020-12-07,0.02710194949363846,0.0006666666666666666,0.026435282826971794,3
2020-12-08,0.007288420421791933,0.0,0.007288420421791933,3
2020-12-09,-0.03833950568105193,0.0003333333333333333,-0.038672839014385264,3
2020-12-10,0.004338723028988375,0.0,0.004338723028988375,3
2020-12-11,-0.01171934663974831,0.0,-0.01171934663974831,3
2020-12-14,0.016899883656097403,0.0,0.016899883656097403,3
2020-12-15,0.006280311092872229,0.0,0.006280311092872229,3
2020-12-16,-0.002126372454632726,0.0003333333333333333,-0.0024597057879660596,3
2020-12-17,0.019285201582145712,0.0,0.019285201582145712,3
2020-12-18,0.027405492374057018,0.0,0.027405492374057018,3
2020-12-21,-0.0274918556508722,0.0,-0.0274918556508722,3
2020-12-22,-0.0020945618146985803,0.0,-0.0020945618146985803,3
2020-12-23,-0.0054489602774258445,0.0,-0.0054489602774258445,3
2020-12-24,0.015823060565032167,0.0003333333333333333,0.015489727231698834,3
2020-12-28,-0.000708865866436111,0.0,-0.000708865866436111,3
2020-12-29,-0.003889999592295856,0.0,-0.003889999592295856,3
2020-12-30,0.01624018242196216,0.0,0.01624018242196216,3
2020-12-31,0.004245566715704566,0.0006666666666666666,0.0035789000490378995,3
2021-01-04,-0.013976466345706965,0.0006666666666666666,-0.01464313301237363,3
2021-01-05,0.014906145796864,0.0003333333333333333,0.014572812463530666,3
2021-01-06,0.0073642902290907974,0.0003333333333333333,0.007030956895757464,3
2021-01-07,0.03113785009796562,0.0003333333333333333,0.030804516764632285,3
2021-01-08,0.02511321705608819,0.0,0.02511321705608819,3
2021-01-11,-0.017701656326041443,0.0,-0.017701656326041443,3
2021-01-12,0.01929098311338732,0.0003333333333333333,0.018957649780053987,3
2021-01-13,-0.0014721596006308144,0.0003333333333333333,-0.0018054929339641477,3
2021-01-14,0.011681559942015399,0.0,0.011681559942015399,3
2021-01-15,-0.020699206360571838,0.0,-0.020699206360571838,3
2021-01-19,0.030298967950049605,0.0,0.030298967950049605,3
2021-01-20,-0.0002482251270411835,0.0,-0.0002482251270411835,3
2021-01-21,0.007834237140480076,0.0,0.007834237140480076,3
2021-01-22,-0.011273714422067111,0.0,-0.011273714422067111,3
2021-01-25,0.015242853460485742,0.0,0.015242853460485742,3
2021-01-26,-0.010309108761538269,0.0,-0.010309108761538269,3
2021-01-27,-0.04072706215095845,0.0,-0.04072706215095845,3
2021-01-28,0.0032026706720795772,0.0,0.0032026706720795772,3
2021-01-29,-0.02861312452599392,0.0,-0.02861312452599392,3
2021-02-01,0.04566830206879816,0.0003333333333333333,0.04533496873546483,3
2021-02-02,0.02488989136073716,0.0003333333333333333,0.024556558027403825,3
2021-02-03,-0.01995420541161304,0.0003333333333333333,-0.020287538744946376,3
2021-02-04,0.005921677413722885,0.0003333333333333333,0.005588344080389552,3
2021-02-05,-0.001433471072335379,0.0003333333333333333,-0.0017668044056687122,3
2021-02-08,0.022634132197174653,0.0003333333333333333,0.022300798863841318,3
2021-02-09,-0.009910190961377019,0.0003333333333333333,-0.010243524294710352,3
2021-02-10,0.007235327216710348,0.0003333333333333333,0.006901993883377015,3
2021-02-11,-0.003376218803348448,0.0006666666666666666,-0.004042885470015115,3
2021-02-12,0.013873878421163978,0.0,0.013873878421163978,3
2021-02-16,0.012326324361415413,0.0003333333333333333,0.01199299102808208,3
2021-02-17,0.00015842961849458527,0.0,0.00015842961849458527,3
2021-02-18,-0.013041049799901023,0.0003333333333333333,-0.013374383133234356,3
2021-02-19,0.014153667653001115,0.0,0.014153667653001115,3
2021-02-22,0.005381975132836817,0.0,0.005381975132836817,3
2021-02-23,0.00442862233864516,0.0,0.00442862233864516,3
2021-02-24,0.024629648652185976,0.0003333333333333333,0.02429631531885264,3
2021-02-25,-0.01863634322810063,0.0,-0.01863634322810063,3
2021-02-26,-0.01774118344570108,0.0,-0.01774118344570108,3
2021-03-01,0.027607910276701134,0.0003333333333333333,0.0272745769433678,3
2021-03-02,-0.009197578396192766,0.0003333333333333333,-0.009530911729526099,3
2021-03-03,0.00785504411354269,0.0,0.00785504411354269,3
2021-03-04,-0.0011466972305286252,0.0,-0.0011466972305286252,3
2021-03-05,0.026710074271411106,0.0,0.026710074271411106,3
2021-03-08,0.008377336323441693,0.0,0.008377336323441693,3
2021-03-09,-0.010247079641856116,0.0,-0.010247079641856116,3
2021-03-10,0.0201682714438877,0.0,0.0201682714438877,3
2021-03-11,-0.0005964599840008928,0.0,-0.0005964599840008928,3
2021-03-12,0.008543632789717481,0.0,0.008543632789717481,3
2021-03-15,-0.002922828314424956,0.0,-0.002922828314424956,3
2021-03-16,-0.01772355786197018,0.0,-0.01772355786197018,3
2021-03-17,0.008679094930957938,0.0003333333333333333,0.008345761597624604,3
2021-03-18,-0.018087081570124952,0.0003333333333333333,-0.018420414903458287,3
2021-03-19,-0.006321479374492492,0.0,-0.006321479374492492,3
2021-03-22,-0.007678875970943484,0.0,-0.007678875970943484,3
2021-03-23,-0.015360198156694316,0.0,-0.015360198156694316,3
2021-03-24,0.012004686301792189,0.0003333333333333333,0.011671352968458856,3
2021-03-25,0.012810107630219392,0.0006666666666666666,0.012143440963552726,3
2021-03-26,0.016817572267604643,0.0006666666666666666,0.016150905600937977,3
2021-03-29,-0.0068075820349722625,0.0,-0.0068075820349722625,3
2021-03-30,0.0009291894303356711,0.0,0.0009291894303356711,3
